0.010101	-4.898990
0.020202	-4.797980
0.030303	-4.696970
0.040404	-4.595960
0.050505	-4.494949
0.060606	-4.393939
0.070707	-4.292929
0.080808	-4.191919
0.090909	-4.090909
0.101010	-3.989899
0.111111	-3.888889
0.121212	-3.787879
0.131313	-3.686869
0.141414	-3.585859
0.151515	-3.484848
0.161616	-3.383838
0.171717	-3.282828
0.181818	-3.181818
0.191919	-3.080808
0.202020	-2.979798
0.212121	-2.878788
0.222222	-2.777778
0.232323	-2.676768
0.242424	-2.575758
0.252525	-2.474747
0.262626	-2.373737
0.272727	-2.272727
0.282828	-2.171717
0.292929	-2.070707
0.303030	-1.969697
0.313131	-1.868687
0.323232	-1.767677
0.333333	-1.666667
0.343434	-1.565657
0.353535	-1.464646
0.363636	-1.363636
0.373737	-1.262626
0.383838	-1.161616
0.393939	-1.060606
0.404040	-0.959596
0.414141	-0.858586
0.424242	-0.757576
0.434343	-0.656566
0.444444	-0.555556
0.454545	-0.454545
0.464646	-0.353535
0.474747	-0.252525
0.484848	-0.151515
0.494949	-0.050505
0.505051	0.050505
0.515152	0.151515
0.525253	0.252525
0.535354	0.353535
0.545455	0.454545
0.555556	0.555556
0.565657	0.656566
0.575758	0.757576
0.585859	0.858586
0.595960	0.959596
0.606061	1.060606
0.616162	1.161616
0.626263	1.262626
0.636364	1.363636
0.646465	1.464646
0.656566	1.565657
0.666667	1.666667
0.676768	1.767677
0.686869	1.868687
0.696970	1.969697
0.707071	2.070707
0.717172	2.171717
0.727273	2.272727
0.737374	2.373737
0.747475	2.474747
0.757576	2.575758
0.767677	2.676768
0.777778	2.777778
0.787879	2.878788
0.797980	2.979798
0.808081	3.080808
0.818182	3.181818
0.828283	3.282828
0.838384	3.383838
0.848485	3.484848
0.858586	3.585859
0.868687	3.686869
0.878788	3.787879
0.888889	3.888889
0.898990	3.989899
0.909091	4.090909
0.919192	4.191919
0.929293	4.292929
0.939394	4.393939
0.949495	4.494949
0.959596	4.595960
0.969697	4.696970
0.979798	4.797980
0.989899	4.898990
